tool,src_bytes,dst_bytes,ratio_saved,compress_ms,decompress_ms,verified,status
zstd,549,394,0.2823,0.527,0.032,yes,ok
xz,549,419,0.2368,40.836,7.783,yes,ok
bzip2,549,326,0.4062,1.479,6.488,yes,ok
gzip,549,393,0.2842,0.609,9.210,yes,ok
lz4,549,540,0.0164,0.343,0.011,yes,ok
