"tool","src_bytes","dst_bytes","ratio_saved","compress_ms","decompress_ms","verified","status"
"bzip2",2097152,2052877,0.0211,799.68,274.98,"yes","ok"
"gzip",2097152,2077031,0.0096,422,142.45,"yes","ok"
"lz4",2097152,2075939,0.0101,42.96,21.81,"yes","ok"
"xz",2097152,2037076,0.0286,8803.24,371.12,"yes","ok"
"zstd",2097152,2054202,0.0205,200.89,53.73,"yes","ok"
