"tool","src_bytes","dst_bytes","ratio_saved","compress_ms","decompress_ms","verified","status"
"bzip2",8388608,8216545,0.0205,3364.76,1150.39,"yes","ok"
"gzip",8388608,8298282,0.0108,1782.56,562.53,"yes","ok"
"lz4",8388608,8305937,0.0099,165.9,85.45,"yes","ok"
"xz",8388608,8123150,0.0316,33494.51,1437.38,"yes","ok"
"zstd",8388608,8232199,0.0186,786.64,217.8,"yes","ok"
