tool,src_bytes,dst_bytes,ratio_saved,compress_ms,decompress_ms,verified,status
zstd,117,107,0.0855,2.509,5.354,yes,ok
xz,117,107,0.0855,0.401,0.340,yes,ok
bzip2,117,92,0.2137,0.999,0.926,yes,ok
gzip,117,119,0.0000,0.515,0.338,yes,ok
lz4,117,107,0.0855,0.385,0.226,yes,ok
