"tool","src_bytes","dst_bytes","ratio_saved","compress_ms","decompress_ms","verified","status"
"bzip2",52428800,32034420,0.389,21365.77,7269.26,"yes","ok"
"gzip",52428800,34901486,0.3343,11749.42,4094.41,"yes","ok"
"lz4",52428800,38560949,0.2645,1028.02,518.49,"yes","ok"
"xz",52428800,30279495,0.4225,224197.83,10626.23,"yes","ok"
"zstd",52428800,32493192,0.3802,5708.63,1404.73,"yes","ok"
