"tool","src_bytes","dst_bytes","ratio_saved","compress_ms","decompress_ms","verified","status"
"bzip2",4196020,2323624,0.4462,1919.36,630.79,"yes","ok"
"gzip",4196020,2582956,0.3844,924.66,331.59,"yes","ok"
"lz4",4196020,2936623,0.3001,83.67,48.22,"yes","ok"
"xz",4196020,2241166,0.4659,16969.81,856.7,"yes","ok"
"zstd",4196020,2350659,0.4398,456.15,118.17,"yes","ok"
